,player_international,actual_team,number,Name,Nationalite,mois_de_naissance,jour_de_naissance,anne_de_naissance,age_actuel,taille_en_m,Poste,Pied_fort,id,Unnamed: 0,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,dico_fifa,Dribbling,Marking,Aggression,Reactions,Interceptions,Vision,Composure,Crossing,Acceleration,Strength,Balance,Agility,Penalties,Volleys,Power,Jumping,Heading,Curve,Injury,Finishing
308,True, Hatayspor,6,, Guinéen Français,février,19,1992,30,"1,85",Défenseur central,Gauche,5673,414,Simon Falette,1,90,0,0.0,0,0.0,0,0,0,0,D,Metz,0,0.0,0.0207429006695747,0.0207429006695747,"{'Dribbling': '48', 'Marking': 'None', 'Aggression': '81', 'Reactions': '63', 'Interceptions': '64', 'Vision': '41', 'Composure': '64', 'Crossing': '39', 'Acceleration': '65', 'Stamina': '64', 'Strength': '87', 'Balance': '49', 'Agility': '43', 'Jumping': '81', 'Heading': '71', 'Finishing': '39', 'Curve': '27', 'Penalties': '60', 'Volleys': '24'}",48,None,81,63,64,41,64,39,65,87,,43,60,24,,81,71,27,,39
309,True, Kocaelispor,20,Georges Constant Mandjeck, Camerounais,décembre,9,1988,34,"1,85","Défenseur, milieu de terrain",,5674,415,Georges Mandjeck,14,973,0,0.2064147288911044,1,0.1742924014106392,7,6,5,0,D M S,Metz,0,0.2064147288911044,1.734563399106264,1.5184539938345551,"{'Dribbling': '64', 'Marking': '68', 'Aggression': '78', 'Reactions': '65', 'Interceptions': '70', 'Vision': '64', 'Composure': '73', 'Crossing': '48', 'Acceleration': '57', 'Stamina': '70', 'Strength': '76', 'Balance': '69', 'Agility': '67', 'Jumping': '71', 'Heading': '68', 'Finishing': '49', 'Curve': '51', 'Penalties': '39', 'Volleys': '42'}",64,68,78,65,70,64,73,48,57,76,,67,39,42,,71,68,51,,49
310,True, Baniyas SC,14,, Sénégalais Français,juillet,8,1994,28,"1,81",Attaquant,Droit,5676,416,Opa Nguette,17,1020,0,3.564593113958836,0,0.6862819865345955,28,10,3,0,D F M S,Metz,0,3.564593113958836,5.704917501658201,1.95032050460577,"{'Dribbling': '75', 'Marking': '43', 'Aggression': '53', 'Reactions': '73', 'Interceptions': '31', 'Vision': '69', 'Composure': '72', 'Crossing': '66', 'Acceleration': '88', 'Stamina': '62', 'Strength': '68', 'Balance': '71', 'Agility': '81', 'Jumping': '71', 'Heading': '65', 'Finishing': '67', 'Curve': '62', 'Penalties': '70', 'Volleys': '61', 'Injury': 'Prone'}",75,43,53,73,31,69,72,66,88,68,,81,70,61,,71,65,62,Prone,67
311,True, RC Strasbourg,16,, Japonais,mars,20,1983,39,"1,85",Gardien de but,Droit,5678,417,Eiji Kawashima,29,2573,0,0.0,0,0.0112849995493888,0,1,0,1,GK,Metz,0,0.0,1.4205775950103998,1.409292595461011,"{'Dribbling': '12', 'Marking': 'None', 'Aggression': '16', 'Reactions': '70', 'Interceptions': '19', 'Vision': '29', 'Composure': '44', 'Crossing': '17', 'Acceleration': '43', 'Stamina': '30', 'Strength': '60', 'Balance': '45', 'Agility': '61', 'Jumping': '69', 'Heading': '14', 'Finishing': '14', 'Curve': '13', 'Penalties': '24', 'Volleys': '13', 'Team': 'Player'}",12,None,16,70,19,29,44,17,43,60,,61,24,13,,69,14,13,,14
312,True, Wolverhampton Wanderers,17,Gonçalo Manuel Ganchinho Guedes, Portugais,novembre,29,1996,26,"1,79",Ailier gauche / Attaquant,Droit,5682,419,Gonçalo Guedes,1,4,0,0.0,0,0.0,0,0,0,0,S,Paris Saint Germain,0,0.0,0.0,0.0,"{'Dribbling': '84', 'Marking': 'None', 'Aggression': '64', 'Reactions': '81', 'Interceptions': '50', 'Vision': '76', 'Composure': '78', 'Crossing': '81', 'Acceleration': '85', 'Stamina': '72', 'Strength': '72', 'Balance': '75', 'Agility': '84', 'Jumping': '63', 'Heading': '75', 'Finishing': '82', 'Curve': '76', 'Penalties': '69', 'Volleys': '75', 'Distance': 'Shooter', 'Injury': 'Prone'}",84,None,64,81,50,76,78,81,85,72,,84,69,75,,63,75,76,Prone,82
313,True, Moreirense FC,-,Afonso Mendes Ribeiro de Figueiredo, Portugais,janvier,6,1993,29,"1,71",Arrière gauche,,5689,421,Afonso Figueiredo,5,216,0,0.0,0,0.0,0,0,1,0,D S,Rennes,0,0.0,0.1921072974801063,0.1921072974801063,"{'Dribbling': '67', 'Marking': '67', 'Aggression': '72', 'Reactions': '69', 'Interceptions': '67', 'Vision': '49', 'Composure': '68', 'Crossing': '66', 'Acceleration': '70', 'Stamina': '74', 'Strength': '56', 'Balance': '84', 'Agility': '71', 'Jumping': '75', 'Heading': '65', 'Finishing': '31', 'Curve': '65', 'Penalties': '45', 'Volleys': '35'}",67,67,72,69,67,49,68,66,70,56,,71,45,35,,75,65,65,,31
314,True, FC Copenhague,1,Karl-Johan Johnsson, Suédois,janvier,28,1990,32,"1,89",Gardien de but,,5690,422,Karl-Johan Johnsson,38,3420,0,0.0,0,0.0431512985378503,0,2,0,0,GK,Guingamp,0,0.0,2.918232722207904,2.875081423670053,"{'Dribbling': '16', 'Marking': 'None', 'Aggression': '32', 'Reactions': '65', 'Interceptions': '18', 'Vision': '49', 'Composure': '45', 'Crossing': '15', 'Acceleration': '42', 'Stamina': '33', 'Strength': '65', 'Balance': '40', 'Agility': '43', 'Jumping': '57', 'Heading': '20', 'Finishing': '12', 'Curve': '15', 'Penalties': '20', 'Volleys': '18', 'Team': 'Player'}",16,None,32,65,18,49,45,15,42,65,,43,20,18,,57,20,15,,12
315,True, Paphos FC,13,, Congolais (RDC) Français,février,3,1994,28,"1,77",Arrière droit,,5691,423,Jordan Ikoko,28,2421,0,1.0364251099526882,2,1.6399716837331653,10,20,5,0,D S,Guingamp,0,1.0364251099526882,5.9509624959900975,4.400915067642927,"{'Dribbling': '71', 'Marking': '65', 'Aggression': '62', 'Reactions': '68', 'Interceptions': '67', 'Vision': '45', 'Composure': '71', 'Crossing': '73', 'Acceleration': '78', 'Stamina': '75', 'Strength': '68', 'Balance': '76', 'Agility': '73', 'Jumping': '75', 'Heading': '61', 'Finishing': '31', 'Curve': '50', 'Penalties': '49', 'Volleys': '31', 'Early': 'Crosser'}",71,65,62,68,67,45,71,73,78,68,,73,49,31,,75,61,50,,31
316,True,,,, Marocain   Français,octobre,16,1986,36,"1,83",Arrière droit,,5692,424,Fouad Chafik,23,1626,0,0.1421226002275943,2,1.8476974060758948,5,16,4,0,D M S,Dijon,0,0.1421226002275943,4.897455349564552,3.646906133741141,"{'Dribbling': '63', 'Marking': '69', 'Aggression': '68', 'Reactions': '69', 'Interceptions': '70', 'Vision': '52', 'Composure': '67', 'Crossing': '66', 'Acceleration': '64', 'Stamina': '79', 'Strength': '72', 'Balance': '63', 'Agility': '68', 'Jumping': '56', 'Heading': '51', 'Finishing': '44', 'Curve': '59', 'Penalties': '43', 'Volleys': '39'}",63,69,68,69,70,52,67,66,64,72,,68,43,39,,56,51,59,,44
317,True, Omónia Nicosie,22,, Hongrois,janvier,17,1993,29,"1,88",Défenseur central,Droit,5694,425,Ádám Lang,3,235,0,0.0,0,0.0,0,0,0,1,D,Dijon,0,0.0,0.6118056923151016,0.6118056923151016,"{'Dribbling': '32', 'Marking': 'None', 'Aggression': '70', 'Reactions': '63', 'Interceptions': '71', 'Vision': '26', 'Composure': '66', 'Crossing': '49', 'Acceleration': '58', 'Stamina': '70', 'Strength': '81', 'Balance': '67', 'Agility': '60', 'Jumping': '71', 'Heading': '70', 'Finishing': '40', 'Curve': '28', 'Penalties': '56', 'Volleys': '30'}",32,None,70,63,71,26,66,49,58,81,,60,56,30,,71,70,28,,40
318,True, Ümraniyespor,14,, Congolais,septembre,25,1997,25,"1,79",Milieu axial,Gauche,5707,426,Durel Avounou,9,660,0,0.2629422154277563,0,0.1535390019416809,5,3,1,0,D M S,Caen,0,0.2629422154277563,0.8649345859885216,0.5808736979961395,"{'Dribbling': '67', 'Marking': 'None', 'Aggression': '49', 'Reactions': '62', 'Interceptions': '59', 'Vision': '61', 'Composure': '64', 'Crossing': '52', 'Acceleration': '69', 'Stamina': '72', 'Strength': '73', 'Balance': '65', 'Agility': '67', 'Jumping': '89', 'Heading': '76', 'Finishing': '56', 'Curve': '49', 'Penalties': '52', 'Volleys': '47'}",67,None,49,62,59,61,64,52,69,73,,67,52,47,,89,76,49,,56
319,False, Botafogo FR,21,Fernando Marçal de Oliveira, Brésilien,février,19,1989,33,"1,78",Arrière gauche,Gauche,5708,427,Fernando Marçal,18,1300,0,0.0472044004127383,3,1.8222491778433323,2,17,1,0,D S,Lyon,0,0.0472044004127383,5.217945286072791,4.765347310341895,"{'Dribbling': '70', 'Marking': '76', 'Aggression': '87', 'Reactions': '73', 'Interceptions': '76', 'Vision': '65', 'Composure': '72', 'Crossing': '72', 'Acceleration': '69', 'Stamina': '65', 'Strength': '71', 'Balance': '69', 'Agility': '69', 'Jumping': '74', 'Heading': '64', 'Finishing': '52', 'Curve': '65', 'Penalties': '49', 'Volleys': '44', 'Injury': 'Prone'}",70,76,87,73,76,65,72,72,69,71,,69,49,44,,74,64,65,Prone,52
320,True, AEL Limassol,20,, Suédois Macédonien,août,13,1991,31,"1,81",Ailier droit,Gauche,5714,428,Alexander Kacaniklic,9,306,0,0.1973218973726034,1,0.2354750037193298,3,3,0,0,M S,Nantes,0,0.1973218973726034,0.3921631993725896,0.0155483996495604,"{'Dribbling': '69', 'Marking': '38', 'Aggression': '43', 'Reactions': '66', 'Interceptions': '41', 'Vision': '69', 'Composure': '73', 'Crossing': '67', 'Acceleration': '75', 'Stamina': '70', 'Strength': '58', 'Balance': '72', 'Agility': '76', 'Jumping': '34', 'Heading': '62', 'Finishing': '66', 'Curve': '68', 'Penalties': '59', 'Volleys': '64', 'Injury': 'Prone'}",69,38,43,66,41,69,73,67,75,58,,76,59,64,,34,62,68,Prone,66
321,False, AJ Auxerre,7,, Français,août,7,1996,26,"1,70",Milieu de terrain,Gauche,5727,430,Gauthier Hein,3,79,0,0.0430543012917041,0,0.0207429006695747,1,1,0,0,M S,Metz,0,0.0430543012917041,0.0892035011202097,0.0254062991589307,"{'Dribbling': '76', 'Marking': 'None', 'Aggression': '61', 'Reactions': '59', 'Interceptions': '39', 'Vision': '62', 'Composure': '57', 'Crossing': '62', 'Acceleration': '81', 'Stamina': '57', 'Strength': '48', 'Balance': '90', 'Agility': '90', 'Jumping': '67', 'Heading': '31', 'Finishing': '67', 'Curve': '78', 'Penalties': '51', 'Volleys': '51'}",76,None,61,59,39,62,57,62,81,48,,90,51,51,,67,31,78,,67
322,True, OH Louvain,20,, Marocain Ivoirien,octobre,21,1997,25,"1,79",Latéral gauche,Gauche,5728,431,Hamza Mendyl,12,848,0,0.0654377974569797,0,1.0651266798377037,2,4,2,1,D M S,Lille,0,0.0654377974569797,3.543362369760871,2.412798598408699,"{'Dribbling': '65', 'Marking': 'None', 'Aggression': '80', 'Reactions': '64', 'Interceptions': '64', 'Vision': '55', 'Composure': '64', 'Crossing': '56', 'Acceleration': '85', 'Stamina': '62', 'Strength': '61', 'Balance': '69', 'Agility': '72', 'Jumping': '60', 'Heading': '57', 'Finishing': '36', 'Curve': '57', 'Penalties': '48', 'Volleys': '33'}",65,None,80,64,64,55,64,56,85,61,,72,48,33,,60,57,57,,36
323,True, Angers SCO,25,, Ivoirien Italien,avril,25,1990,32,"1,82",Arrière droit,,5732,432,Abdoulaye Bamba,18,1532,0,0.0666151000186801,0,0.3642937047407031,4,7,2,0,D S,Angers,0,0.0666151000186801,3.196943602524698,2.9785756012424827,"{'Dribbling': '59', 'Marking': 'None', 'Aggression': '65', 'Reactions': '66', 'Interceptions': '68', 'Vision': '58', 'Composure': '59', 'Crossing': '66', 'Acceleration': '74', 'Stamina': '68', 'Strength': '68', 'Balance': '64', 'Agility': '73', 'Jumping': '75', 'Heading': '63', 'Finishing': '28', 'Curve': '57', 'Penalties': '38', 'Volleys': '49'}",59,None,65,66,68,58,59,66,74,68,,73,38,49,,75,63,57,,28
